binomio,class,family,invasora,habitat,registros,zonas,nombre_comun
Polypogon viridis,Liliopsida,Poaceae,True,terrestrial,9,6,
Sonchus asper,Magnoliopsida,Asteraceae,False,terrestrial,8,4,
Pennisetum villosum,Liliopsida,Poaceae,True,terrestrial,8,3,
Lythrum salicaria,Magnoliopsida,Lythraceae,True,terrestrial|freshwater,8,1,
Plantago coronopus,Magnoliopsida,Plantaginaceae,False,terrestrial,8,3,
Cytisus striatus,Magnoliopsida,Fabaceae,False,terrestrial,8,4,
Mesembryanthemum nodiflorum,Magnoliopsida,Aizoaceae,False,terrestrial,8,5,
Apium nodiflorum,Magnoliopsida,Apiaceae,True,terrestrial,8,3,
Carduus nutans,Magnoliopsida,Asteraceae,True,terrestrial,8,1,
Bugula neritina,Gymnolaemata,Bugulidae,True,marine,8,3,
Trifolium campestre,Magnoliopsida,Fabaceae,False,terrestrial,7,2,
Matthiola incana,Magnoliopsida,Brassicaceae,False,terrestrial,7,3,
Typha domingensis,Liliopsida,Typhaceae,False,terrestrial|freshwater|brackish,7,4,
Sambucus nigra,Magnoliopsida,Adoxaceae,False,terrestrial,7,4,
Oxychilus alliarius,Gastropoda,Zonitidae,False,terrestrial,7,6,
Viola arvensis,Magnoliopsida,Violaceae,False,terrestrial,7,3,
Trifolium subterraneum,Magnoliopsida,Fabaceae,False,terrestrial,7,1,
Trifolium glomeratum,Magnoliopsida,Fabaceae,False,terrestrial,7,4,
Oncorhynchus mykiss,Actinopterygii,Salmonidae,True,freshwater|brackish|marine,7,5,
Linum usitatissimum,Magnoliopsida,Linaceae,False,terrestrial,7,5,
Eucalyptus camaldulensis,Magnoliopsida,Myrtaceae,False,terrestrial,7,3,
Atriplex semibaccata,Magnoliopsida,Chenopodiaceae,True,terrestrial,7,2,
Cardaria draba,Magnoliopsida,Brassicaceae,True,terrestrial,7,3,
Avena barbata,Liliopsida,Poaceae,False,terrestrial,7,4,teatina
Chenopodium vulvaria,Magnoliopsida,Chenopodiaceae,True,terrestrial,7,1,
Alisma plantago-aquatica,Liliopsida,Alismataceae,False,freshwater,7,5,
Geranium dissectum,Magnoliopsida,Geraniaceae,False,terrestrial,6,4,
Trifolium incarnatum,Magnoliopsida,Fabaceae,False,terrestrial,6,4,
Malva nicaeensis,Magnoliopsida,Malvaceae,True,terrestrial,6,4,
Misopates orontium,Magnoliopsida,Plantaginaceae,False,terrestrial,6,2,
Sedum acre,Magnoliopsida,Crassulaceae,False,terrestrial,6,1,
Senecio angulatus,Magnoliopsida,Asteraceae,False,terrestrial,6,3,
Kickxia elatine,Magnoliopsida,Plantaginaceae,False,terrestrial,6,3,
Holcus lanatus,Liliopsida,Poaceae,False,terrestrial,6,6,
Vicia villosa,Magnoliopsida,Fabaceae,False,terrestrial,6,5,
Phasianus colchicus,Aves,Phasianidae,False,terrestrial,6,2,
Pseudognaphalium luteoalbum,Magnoliopsida,Asteraceae,False,terrestrial,6,5,
Brassica oleracea,Magnoliopsida,Brassicaceae,True,terrestrial,6,4,
Brassica napus,Magnoliopsida,Brassicaceae,True,terrestrial,6,3,
Anthemis cotula,Magnoliopsida,Asteraceae,True,terrestrial,6,2,
Nicotiana sylvestris,Magnoliopsida,Solanaceae,False,terrestrial,6,2,
Eruca vesicaria,Magnoliopsida,Brassicaceae,False,terrestrial,5,4,
Digitaria sanguinalis,Liliopsida,Poaceae,True,terrestrial,5,2,
Malva neglecta,Magnoliopsida,Malvaceae,False,terrestrial,5,1,
Saponaria officinalis,Magnoliopsida,Caryophyllaceae,False,terrestrial,5,4,
Solanum pseudocapsicum,Magnoliopsida,Solanaceae,False,terrestrial,5,3,
Spartium junceum,Magnoliopsida,Fabaceae,False,terrestrial,5,3,
Spergularia marina,Magnoliopsida,Caryophyllaceae,False,terrestrial,5,4,
Asphodelus fistulosus,Liliopsida,Xanthorrhoeaceae,True,terrestrial,5,2,
Carthamus lanatus,Magnoliopsida,Asteraceae,True,terrestrial,5,4,
Chamaemelum mixtum,Magnoliopsida,Asteraceae,True,terrestrial,5,1,
Lythrum hyssopifolia,Magnoliopsida,Lythraceae,True,terrestrial|freshwater,5,3,
Lupinus angustifolius,Magnoliopsida,Fabaceae,True,terrestrial,5,4,
Lophochloa cristata,Liliopsida,Poaceae,False,terrestrial,5,5,
Mus musculus,Mammalia,Muridae,True,terrestrial,5,4,ratón doméstico
Juncus bufonius,Liliopsida,Juncaceae,False,terrestrial|freshwater,5,4,
Icerya purchasi,Insecta,Margarodidae,True,host,5,3,
Casuarina equisetifolia,Magnoliopsida,Casuarinaceae,False,terrestrial,4,3,
Ruta chalepensis,Magnoliopsida,Rutaceae,False,terrestrial,4,3,
Datura ferox,Magnoliopsida,Solanaceae,False,terrestrial,4,3,
Polycarpon tetraphyllum,Magnoliopsida,Caryophyllaceae,False,terrestrial,4,3,
Ranunculus sceleratus,Magnoliopsida,Ranunculaceae,True,terrestrial,4,3,
Cnesterodon decemmaculatus,Actinopterygii,Poeciliidae,False,freshwater|brackish,4,3,
Reseda luteola,Magnoliopsida,Resedaceae,False,terrestrial,4,2,
Rumex pulcher,Magnoliopsida,Polygonaceae,False,terrestrial,4,2,
Scrophularia auriculata,Magnoliopsida,Scrophulariaceae,False,terrestrial,4,3,
Scabiosa atropurpurea,Magnoliopsida,Dipsacaceae,False,terrestrial,4,3,
Myosotis latifolia,Magnoliopsida,Boraginaceae,False,terrestrial,4,3,
Sesuvium portulacastrum,Magnoliopsida,Aizoaceae,False,terrestrial,4,2,
Cardamine hirsuta,Magnoliopsida,Brassicaceae,False,terrestrial,4,1,
Sisymbrium officinale,Magnoliopsida,Brassicaceae,False,terrestrial,4,3,
Solanum radicans,Magnoliopsida,Solanaceae,False,terrestrial,4,1,
Spergularia rubra,Magnoliopsida,Caryophyllaceae,False,terrestrial,4,3,
Aira caryophyllea,Liliopsida,Poaceae,False,terrestrial,4,2,
Erodium botrys,Magnoliopsida,Geraniaceae,False,terrestrial,4,3,
Abutilon grandifolium,Magnoliopsida,Malvaceae,False,terrestrial,4,3,
Fumaria parviflora,Magnoliopsida,Papaveraceae,False,terrestrial,4,1,
Fraxinus excelsior,Magnoliopsida,Oleaceae,False,terrestrial,4,3,
Ornithopus compressus,Magnoliopsida,Fabaceae,False,terrestrial,4,2,
Fallopia japonica,Magnoliopsida,Polygonaceae,False,terrestrial,4,1,
Hieracium pilosella,Magnoliopsida,Asteraceae,False,terrestrial,3,1,
Chenopodium ficifolium,Magnoliopsida,Chenopodiaceae,True,terrestrial,3,2,
Tanacetum vulgare,Magnoliopsida,Asteraceae,False,terrestrial,3,3,
Sus scrofa,Mammalia,Suidae,True,terrestrial,3,3,jabalí
Crepis capillaris,Magnoliopsida,Asteraceae,False,terrestrial,3,3,
Bromus sterilis,Liliopsida,Poaceae,True,terrestrial,3,1,
Coriandrum sativum,Magnoliopsida,Apiaceae,False,terrestrial,3,3,
Parentucellia latifolia,Magnoliopsida,Orobanchaceae,False,terrestrial,3,1,
Mentha piperita,Magnoliopsida,Lamiaceae,True,terrestrial,3,2,
Botryllus schlosseri,Ascidiacea,Styelidae,False,marine,3,2,
Isatis tinctoria,Magnoliopsida,Brassicaceae,False,terrestrial,3,1,
Lepidium bonariense,Magnoliopsida,Brassicaceae,True,terrestrial,3,3,
Rumex longifolius,Magnoliopsida,Polygonaceae,False,terrestrial,3,3,
Galinsoga parviflora,Magnoliopsida,Asteraceae,False,terrestrial,3,2,
Scolymus hispanicus,Magnoliopsida,Asteraceae,False,terrestrial,3,1,
Cerastium arvense,Magnoliopsida,Caryophyllaceae,True,terrestrial,3,1,
Salvia verbenaca,Magnoliopsida,Lamiaceae,False,terrestrial,3,2,
Lolium multiflorum,Liliopsida,Poaceae,False,terrestrial,3,3,
Centaurea cyanus,Magnoliopsida,Asteraceae,False,terrestrial,3,3,
Hesperis matronalis,Magnoliopsida,Brassicaceae,False,terrestrial,3,1,
Equus asinus,Mammalia,Equidae,False,terrestrial,3,2,
Physalis viscosa,Magnoliopsida,Solanaceae,True,terrestrial,3,2,
Anoda cristata,Magnoliopsida,Malvaceae,True,terrestrial,3,2,
