zona,speciesKey,registros
Gran Santiago,5352251,24
Gran Santiago,3046851,19
Gran Santiago,5373368,19
Gran Santiago,2984366,10
Gran Santiago,3108983,10
Gran Santiago,3033318,9
Gran Santiago,5372639,8
Gran Santiago,3046812,7
Gran Santiago,7678610,7
Gran Santiago,3040227,6
Gran Santiago,3040983,6
Gran Santiago,5339050,5
Gran Santiago,8174785,5
Gran Santiago,2439261,4
Gran Santiago,2439270,4
Gran Santiago,7538163,4
Gran Santiago,2931104,3
Gran Santiago,3083957,3
Gran Santiago,3105782,3
Gran Santiago,5289919,3
Gran Santiago,5355395,3
Gran Santiago,2889011,2
Gran Santiago,3131229,2
Gran Santiago,4933568,2
Gran Santiago,6409706,2
Gran Santiago,7486599,2
Gran Santiago,8195144,2
Gran Santiago,2888728,1
Gran Santiago,2888946,1
Gran Santiago,3033339,1
Gran Santiago,3033374,1
Gran Santiago,3046890,1
Gran Santiago,3046913,1
Gran Santiago,3105768,1
Gran Santiago,5341297,1
Gran Santiago,5384848,1
Gran Santiago,7301010,1
Gran Santiago,7595433,1
Gran Santiago,3171954,91
Gran Santiago,5361815,82
Gran Santiago,5358748,71
Gran Santiago,3172077,66
Gran Santiago,5394163,59
Gran Santiago,1311649,46
Gran Santiago,2443002,46
Gran Santiago,5384604,39
Gran Santiago,3171949,36
Gran Santiago,3169708,29
Gran Santiago,3172086,28
Gran Santiago,3118430,22
Gran Santiago,5217334,20
Gran Santiago,2889934,12
Gran Santiago,5358935,12
Gran Santiago,5421116,11
Gran Santiago,3089150,10
Gran Santiago,5361865,10
Gran Santiago,5331181,6
Gran Santiago,8324121,5
Gran Santiago,2868827,3
Gran Santiago,5289534,3
Gran Santiago,2765156,2
Gran Santiago,3172048,2
Gran Santiago,3172057,2
Gran Santiago,9182154,2
Gran Santiago,2975014,1
Gran Santiago,3118274,1
Gran Santiago,7705930,1
Gran Valparaiso,1340503,143
Gran Valparaiso,2979474,51
Gran Valparaiso,2979000,24
Gran Valparaiso,5325855,14
Gran Valparaiso,8184903,12
Gran Valparaiso,5391845,11
Gran Valparaiso,3117424,6
Gran Valparaiso,3974754,6
Gran Valparaiso,2703041,3
Gran Valparaiso,3190653,3
Gran Valparaiso,2926110,2
Gran Valparaiso,5391802,2
Gran Valparaiso,2441022,1
Gran Valparaiso,2651816,1
Gran Valparaiso,2704103,1
Gran Valparaiso,3631293,1
