speciesKey,nombre_gbif,lat,lon,anio,region_gbif,licencia,foto_url,gbif_id
5347796,Genista monspessulana,-36.5902,-72.977637,2026,Bío-Bío,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/610831691/original.jpg,6133041950
5347796,Genista monspessulana,-33.077605,-71.655678,2026,Valparaíso,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/611835925/original.jpg,6133143739
2996929,Rubus ulmifolius,-33.41502,-70.617266,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/605656592/original.jpg,5938646467
2996929,Rubus ulmifolius,-34.244746,-71.720723,2026,Libertador General Bernardo O'Higgins,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/605530351/original.jpg,5938679243
2996929,Rubus ulmifolius,-33.63557,-70.594467,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/610980797/original.jpg,6129852141
2891661,Oxalis pes-caprae,-32.829043,-71.530778,2026,Valparaíso,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/630120818/original.jpg,6185171591
2891661,Oxalis pes-caprae,-33.569353,-70.556653,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/662143224/original.jpg,6320074450
2891661,Oxalis pes-caprae,-33.637708,-78.830934,2026,Valparaíso,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/668411088/original.jpg,6352404849
3034922,Foeniculum vulgare,-40.570667,-73.149269,2026,Los Lagos,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/604898954/original.jpg,5938211776
3034922,Foeniculum vulgare,-40.558412,-73.161765,2026,Los Lagos,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/604896172/original.jpg,5938352662
3034922,Foeniculum vulgare,-33.029161,-71.551107,2026,Valparaíso,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/606065791/original.jpg,6129829046
2928390,Convolvulus arvensis,-31.637283,-71.171558,2026,Coquimbo,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/605680859/original.jpg,5938117464
2928390,Convolvulus arvensis,-33.853294,-70.631606,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/605514169/original.jpg,5938204745
2928390,Convolvulus arvensis,-34.031218,-70.629883,2026,Libertador General Bernardo O'Higgins,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/606524776/original.jpg,6129965913
2435035,Felis catus,-33.338893,-70.718439,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/611479556/original.jpg,6133324170
2435035,Felis catus,-29.541917,-71.322258,2026,Coquimbo,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/614858026/original.jpg,6159286754
2435035,Felis catus,-32.978225,-71.264747,2026,Valparaíso,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/614754161/original.jpg,6159505493
5394163,Taraxacum officinale,-33.797772,-70.000503,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/667009470/original.jpg,6352852315
5394163,Taraxacum officinale,-39.834278,-73.215622,2026,Los Ríos,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/616733510/original.jpg,6162839703
5394163,Taraxacum officinale,-53.175483,-70.919278,2026,Magallanes y Antártica Chilena,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/625294310/original.jpg,6178424501
5361815,Urtica urens,-33.446236,-70.619335,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/642020403/original.jpg,6234926925
5361815,Urtica urens,-33.41586,-70.55932,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/646478370/original.jpg,6235078896
5361815,Urtica urens,-33.41586,-70.559383,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/640747353/original.jpg,6321241738
